,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
0,-359.2900085449219,60.02211380004883,-4.041895866394043,44.511775970458984,-5.8347883224487305,7.61713981628418,-17.266773223876953,-4.174220561981201,-4.893587112426758,-4.628167629241943,-1.7537580728530884,-7.380317211151123,1.688897967338562,-7.004725933074951,2.2223193645477295,-3.320767641067505,0.29338619112968445,0.28454136848449707,1.4400097131729126,-1.0804507732391357
1,-323.42822265625,80.65303802490234,-37.036197662353516,33.47693634033203,-24.4596004486084,24.89507484436035,3.8882436752319336,-25.43842887878418,-25.837631225585938,-15.882973670959473,-10.557062149047852,-19.088483810424805,-18.329444885253906,-11.313982009887695,9.984928131103516,-14.249541282653809,-7.163567543029785,6.473464012145996,-3.1364681720733643,-4.596904277801514
2,-277.1991271972656,107.40293884277344,-37.28260040283203,54.483116149902344,8.004164695739746,-0.7724036574363708,-9.421587944030762,-1.993918776512146,-10.155448913574219,-27.374982833862305,-13.516657829284668,-28.506685256958008,-13.348246574401855,-0.9881502389907837,-15.849815368652344,-1.5411654710769653,6.255789756774902,-13.789671897888184,-1.5702686309814453,3.8181960582733154
3,-318.7317810058594,74.25820922851562,14.354519844055176,54.320556640625,-3.5848536491394043,11.045595169067383,-11.66158390045166,-8.373936653137207,-10.131579399108887,-13.437506675720215,-3.8064723014831543,-5.199012756347656,-0.4896780848503113,-3.299959659576416,6.445247173309326,-0.9556072354316711,0.9872315526008606,0.728542685508728,0.10933032631874084,-2.0125067234039307
4,-186.88243103027344,125.21269226074219,-93.54801940917969,29.578147888183594,-15.269482612609863,1.0893990993499756,-17.67793083190918,-16.462791442871094,-19.254484176635742,-21.565366744995117,-7.043697834014893,-8.493623733520508,-9.352605819702148,-17.521745681762695,6.665165424346924,-8.521500587463379,-1.2234179973602295,6.5799150466918945,-3.0628976821899414,7.426356792449951
5,-238.89816284179688,110.23268127441406,-19.427156448364258,39.15786361694336,-16.190908432006836,-1.2297077178955078,-11.814797401428223,7.859427452087402,-14.5347318649292,-11.60744857788086,7.321287155151367,-6.186174392700195,-1.6196508407592773,-11.108704566955566,3.55159854888916,-5.237680435180664,-5.617249965667725,-4.923803329467773,-4.853744029998779,-1.7264214754104614
6,-258.8478088378906,107.4404067993164,-33.553035736083984,51.177127838134766,-5.069427967071533,17.287757873535156,-6.302031993865967,-5.254179000854492,-14.832497596740723,-13.215124130249023,-8.379399299621582,-17.263286590576172,-12.654838562011719,-18.564023971557617,13.974242210388184,-9.78381633758545,-9.691880226135254,11.725749015808105,-1.8344837427139282,-6.81197452545166
7,-269.46343994140625,110.21143341064453,-15.789695739746094,54.06537628173828,-16.024986267089844,22.049819946289062,-6.55289888381958,-0.20649071037769318,-13.308521270751953,-10.904853820800781,2.712165355682373,-13.378960609436035,-0.5282348990440369,-10.202187538146973,-3.456012725830078,-2.8343186378479004,2.3589932918548584,-6.052544593811035,1.9880179166793823,0.17569774389266968
8,-267.6443786621094,84.10587310791016,-47.456260681152344,61.54945755004883,1.6048942804336548,24.702102661132812,-8.875818252563477,-22.873687744140625,-9.55628776550293,-6.983936309814453,-14.951355934143066,-6.303775310516357,-1.4585111141204834,-14.719015121459961,10.66130542755127,-5.274307727813721,2.134678363800049,1.6020786762237549,-12.250361442565918,-9.389927864074707
9,-221.40797424316406,125.13457489013672,-12.824114799499512,54.42055130004883,-7.121845722198486,29.770044326782227,-11.422475814819336,10.892818450927734,-2.2337148189544678,-11.134057998657227,3.438584566116333,-10.45456314086914,4.588914394378662,-25.568944931030273,-4.555754661560059,4.726329803466797,-13.294266700744629,-6.074979782104492,6.077101230621338,-4.6283345222473145
10,-238.07521057128906,104.13111114501953,-25.756380081176758,43.11946487426758,-11.004159927368164,31.524723052978516,-13.439935684204102,-10.722381591796875,-14.551915168762207,-13.315906524658203,-18.093181610107422,-18.628589630126953,0.5950719714164734,-4.226579666137695,3.190741777420044,-9.66561222076416,9.287458419799805,-21.593534469604492,-6.0555925369262695,3.9790163040161133
11,-306.7838439941406,98.79353332519531,6.326944828033447,38.20024871826172,3.8739404678344727,11.303528785705566,-0.5245169401168823,-9.476995468139648,-15.217175483703613,-5.768500804901123,-13.433784484863281,-3.3735663890838623,6.095480918884277,-8.5494384765625,15.124100685119629,1.5073609352111816,-0.7036713361740112,8.669804573059082,0.40128231048583984,1.3725569248199463
