,mfcc 1,mfcc 2,mfcc 3,mfcc 4,mfcc 5,mfcc 6,mfcc 7,mfcc 8,mfcc 9,mfcc 10,mfcc 11,mfcc 12,mfcc 13,mfcc 14,mfcc 15,mfcc 16,mfcc 17,mfcc 18,mfcc 19,mfcc 20
0,-340.7683711303263,75.06542506891071,-2.446279201644556,21.44411534703487,-6.660497873649027,1.3942612952391653,-23.700935203616705,15.58938243675048,-5.261107532010476,8.054797063097793,-5.061456560246313,5.981478864234488,-10.102452380545685,2.1683043977032184,2.055951253729851,-3.4847057267353456,0.3005726740194001,2.4098311693200745,-3.164437606992217,4.180323666285821
1,-376.6712792649755,72.85916740191144,-2.1991076367787583,21.70473870298437,-7.072612734229116,0.2427396445010422,-25.43964783831518,16.29128060043084,-5.65353576919136,8.632351389070724,-5.581929905985205,6.352240831700135,-10.035944448228452,3.0002071026139125,1.5276596795297022,-3.2878102006467635,0.8535011371547958,3.5401872467433875,-3.0623115184620127,4.7428954297627115
2,-340.65783384803973,44.09253572694501,7.919793755009256,12.170204163629407,-2.1392486979415075,-3.0456703676475287,-16.184376121122984,9.240917565399249,-2.504180115453731,5.838881885645608,-3.2225729725529177,2.745575965203948,-6.667802870270802,2.033335286031489,0.4434717674207448,-0.8233142412236413,-1.2038802247750147,4.701113305161419,-2.06322109089846,2.8320369630530715
3,-344.3856741243782,40.41933817166391,6.991870779623774,12.197600710709587,-1.2280641357882245,-1.4425639206916328,-14.96296546866564,8.510645513123738,-1.5407578794667587,6.034372902132918,-2.3723794100624906,3.308358831063452,-7.852218617959893,2.243909246981765,0.6444050074115786,-0.4869535937147717,-1.4890308917815072,3.6785665440230355,-3.0464797931134155,2.501106806159976
4,-340.67524450208094,44.638376863125906,8.054914288196748,13.145219819884232,-1.6506273709022223,-1.029622606378964,-17.521138231129033,6.41599515963862,-1.3000840599489363,5.727952501713693,-2.539925261411023,3.2817654856045753,-5.831555566116874,-0.5282325622659986,2.0126117870768554,1.654670326889981,-3.0749957422521597,3.8867633102734356,-4.970315901233482,1.7948108954777902
5,-340.76317264372307,42.65114866013968,9.141737498912216,10.367042824485033,-3.8699145340136365,-7.227297697117275,-12.054497184489955,11.25170673709583,-2.8780458689024653,4.499641263065457,-4.385910068653945,2.6739110021846524,-7.165540626956557,6.191147601253416,-3.3689749524922945,0.0637530715768172,-0.8343950647693166,1.0840319698382153,-1.9336149840878243,2.1920476134991342
6,-360.5917254071006,35.81192408099618,8.400338146646199,13.285323815772685,-2.498591895592887,-3.386040250255918,-18.599070951561096,5.3330433599053375,-1.5487364198534315,5.581703625024919,-0.47360385137210004,3.8604732787778007,-5.396147036262294,-1.4615871460566445,-1.8459331782248356,-1.4173069259635258,-4.7845436536708705,4.199210216181294,-3.572344420305535,2.2232788115643087
7,-362.2675758995683,33.95983211176763,7.905845716346398,8.299675404713323,-5.0432532692412355,-6.26651371475102,-11.316081311111677,9.215836799085713,-0.6476985590062416,6.34671395470867,-4.91258232691927,1.0963279557235948,-7.355078174002786,3.8309551814065075,-3.5119747939428074,1.473120077752886,0.9269527448044765,3.5501001094220888,-3.3032119641326303,0.9634190744193776
8,-364.5850113224035,32.801976816879154,7.5370063586130085,13.471230609999497,-0.1986754728750455,1.8152541392270527,-14.354775151399382,5.682765069675705,-1.3428889787278229,5.089780034286438,-1.1417759650934594,3.5805765918048387,-3.850626047779872,0.256722909656838,0.2624824849909677,1.0412682027235285,-3.5986444399632274,5.505525678577036,-2.1313751591592482,3.733491728579786
9,-364.73351861929257,31.23339868099362,7.045939918533642,9.645406717209163,-3.497726437264675,-4.546869061776731,-9.542784024742616,9.793854778423773,-2.0860018840867203,6.09205900324909,-3.2597297536903875,2.3980453271468107,-7.533184797755053,4.842302090392435,-2.9193417792629615,0.7087058856164756,-0.7841285689081267,3.074659755686995,-3.690989319264902,0.9923442956247828
